DateTime,D0,Ref,R20,R30
8/26/2012 23:10,-0.135912,-0.292807,-0.315818,-0.272601
8/26/2012 23:15,-0.135887,-0.293001,-0.315793,-0.272856
8/26/2012 23:20,-0.136248,-0.293338,-0.316084,-0.273173
8/26/2012 23:25,-0.136972,-0.293821,-0.316755,-0.27354
8/26/2012 23:30,-0.137722,-0.294325,-0.31757,-0.273887
8/26/2012 23:35,-0.137844,-0.294596,-0.318004,-0.274093
8/26/2012 23:40,-0.136766,-0.294397,-0.317501,-0.274067
8/26/2012 23:45,-0.134646,-0.293765,-0.316025,-0.273858
8/26/2012 23:50,-0.132527,-0.29308,-0.314302,-0.273656
8/26/2012 23:55,-0.131355,-0.292722,-0.313242,-0.273608
8/27/2012 0:00,-0.130981,-0.292683,-0.312929,-0.273685
8/27/2012 0:05,-0.130847,-0.292763,-0.312887,-0.273807
8/27/2012 0:10,-0.13075,-0.292868,-0.31288,-0.273945
8/27/2012 0:15,-0.130807,-0.293034,-0.312978,-0.274117
8/27/2012 0:20,-0.131193,-0.293318,-0.313368,-0.274338
8/27/2012 0:25,-0.131815,-0.293695,-0.314038,-0.274584
8/27/2012 0:30,-0.132253,-0.29401,-0.314713,-0.274765
8/27/2012 0:35,-0.131611,-0.293935,-0.314723,-0.274717
8/27/2012 0:40,-0.129029,-0.293135,-0.31333,-0.274299
8/27/2012 0:45,-0.124675,-0.291657,-0.310473,-0.273567
8/27/2012 0:50,-0.120191,-0.290054,-0.307283,-0.272811
8/27/2012 0:55,-0.117273,-0.288958,-0.305138,-0.272291
8/27/2012 1:00,-0.115676,-0.288376,-0.304134,-0.271975
8/27/2012 1:05,-0.114501,-0.287985,-0.303572,-0.271747
8/27/2012 1:10,-0.113599,-0.287703,-0.303192,-0.271584
8/27/2012 1:15,-0.11307,-0.287558,-0.303059,-0.271504
8/27/2012 1:20,-0.113032,-0.287577,-0.303303,-0.271509
8/27/2012 1:25,-0.113267,-0.287698,-0.303833,-0.271552
8/27/2012 1:30,-0.113182,-0.287727,-0.304267,-0.271512
8/27/2012 1:35,-0.111503,-0.287248,-0.303788,-0.271159
8/27/2012 1:40,-0.106974,-0.285822,-0.301533,-0.270293
8/27/2012 1:45,-0.100022,-0.283539,-0.297622,-0.26901
8/27/2012 1:50,-0.0933055,-0.281204,-0.293556,-0.267737
8/27/2012 1:55,-0.0889638,-0.279554,-0.290863,-0.26681
8/27/2012 2:00,-0.0861267,-0.278473,-0.28934,-0.266145
8/27/2012 2:05,-0.0839436,-0.277649,-0.288224,-0.265632
8/27/2012 2:10,-0.0827998,-0.277169,-0.287494,-0.265332
8/27/2012 2:15,-0.0826023,-0.277042,-0.287207,-0.265212
8/27/2012 2:20,-0.0828276,-0.277077,-0.287327,-0.265162
8/27/2012 2:25,-0.0827075,-0.277022,-0.287534,-0.265083
8/27/2012 2:30,-0.0813765,-0.276583,-0.287315,-0.264813
8/27/2012 2:35,-0.0772387,-0.275256,-0.285577,-0.263989
8/27/2012 2:40,-0.069393,-0.272683,-0.281386,-0.262384
8/27/2012 2:45,-0.0597417,-0.269343,-0.275602,-0.260356
8/27/2012 2:50,-0.0527789,-0.266656,-0.270847,-0.258622
8/27/2012 2:55,-0.0497239,-0.265341,-0.268589,-0.25761
8/27/2012 3:00,-0.047619,-0.264599,-0.267695,-0.257018
8/27/2012 3:05,-0.0465203,-0.264144,-0.267395,-0.256646
8/27/2012 3:10,-0.0470045,-0.264213,-0.267638,-0.256564
8/27/2012 3:15,-0.0487518,-0.264713,-0.268365,-0.256658
8/27/2012 3:20,-0.0509075,-0.265348,-0.26961,-0.256792
8/27/2012 3:25,-0.0522613,-0.265761,-0.270902,-0.256819
8/27/2012 3:30,-0.0523969,-0.265757,-0.271688,-0.256532
8/27/2012 3:35,-0.0491006,-0.264778,-0.270766,-0.255602
8/27/2012 3:40,-0.0417766,-0.262504,-0.267516,-0.253935
8/27/2012 3:45,-0.0331945,-0.259644,-0.263236,-0.252002
8/27/2012 3:50,-0.0274995,-0.257529,-0.260086,-0.25055
8/27/2012 3:55,-0.0248665,-0.256519,-0.258857,-0.249726
8/27/2012 4:00,-0.0226091,-0.255856,-0.258326,-0.249087
8/27/2012 4:05,-0.0214506,-0.25547,-0.258237,-0.2486
8/27/2012 4:10,-0.0216779,-0.255544,-0.258811,-0.248367
8/27/2012 4:15,-0.0226065,-0.255847,-0.25979,-0.24827
8/27/2012 4:20,-0.023221,-0.256059,-0.260864,-0.248134
8/27/2012 4:25,-0.02323,-0.256061,-0.26156,-0.247858
8/27/2012 4:30,-0.021911,-0.255672,-0.2616,-0.24726
8/27/2012 4:35,-0.0169307,-0.254314,-0.260224,-0.246121
8/27/2012 4:40,-0.00915462,-0.252014,-0.256989,-0.244525
8/27/2012 4:45,-0.00157997,-0.24964,-0.253314,-0.242995
8/27/2012 4:50,0.00279156,-0.24813,-0.251036,-0.242016
8/27/2012 4:55,0.00478255,-0.247524,-0.250367,-0.241474
8/27/2012 5:00,0.0066779,-0.247134,-0.250307,-0.241052
8/27/2012 5:05,0.00728157,-0.247025,-0.250627,-0.240816
8/27/2012 5:10,0.00667073,-0.247356,-0.251632,-0.240829
8/27/2012 5:15,0.00554107,-0.247834,-0.252688,-0.240929
8/27/2012 5:20,0.00465654,-0.248218,-0.253484,-0.240924
8/27/2012 5:25,0.00478216,-0.248298,-0.254006,-0.240711
8/27/2012 5:30,0.00699448,-0.247739,-0.253776,-0.240129
8/27/2012 5:35,0.0124345,-0.246185,-0.251939,-0.239024
8/27/2012 5:40,0.0195098,-0.243838,-0.248372,-0.237585
8/27/2012 5:45,0.0250039,-0.241712,-0.244826,-0.236349
8/27/2012 5:50,0.0273097,-0.24069,-0.242867,-0.23568
8/27/2012 5:55,0.0281523,-0.240478,-0.242387,-0.235361
8/27/2012 6:00,0.0290979,-0.240341,-0.242365,-0.23511
8/27/2012 6:05,0.0288737,-0.240471,-0.242701,-0.235067
8/27/2012 6:10,0.0277511,-0.240996,-0.243496,-0.235247
8/27/2012 6:15,0.0268601,-0.24146,-0.244322,-0.235437
8/27/2012 6:20,0.0263242,-0.241723,-0.244908,-0.235481
8/27/2012 6:25,0.0264848,-0.241739,-0.245189,-0.235324
8/27/2012 6:30,0.0280235,-0.241263,-0.244716,-0.234811
8/27/2012 6:35,0.0317488,-0.240014,-0.242815,-0.233841
8/27/2012 6:40,0.0363304,-0.238207,-0.239907,-0.232702
8/27/2012 6:45,0.0389012,-0.236919,-0.23755,-0.231934
8/27/2012 6:50,0.0391813,-0.236686,-0.236999,-0.231755
8/27/2012 6:55,0.0386886,-0.236991,-0.237536,-0.231816
8/27/2012 7:00,0.0382844,-0.237292,-0.238096,-0.231872
8/27/2012 7:05,0.0370074,-0.237793,-0.239093,-0.232097
8/27/2012 7:10,0.0351315,-0.238549,-0.240229,-0.232469
8/27/2012 7:15,0.0335799,-0.239211,-0.241207,-0.232756
8/27/2012 7:20,0.0328468,-0.239528,-0.241945,-0.232809
8/27/2012 7:25,0.0330689,-0.239455,-0.242217,-0.232564
8/27/2012 7:30,0.0350194,-0.238776,-0.241761,-0.231896
8/27/2012 7:35,0.0388529,-0.23732,-0.239925,-0.230829
8/27/2012 7:40,0.0426656,-0.235602,-0.237498,-0.229753
8/27/2012 7:45,0.0444911,-0.234543,-0.235868,-0.229136
8/27/2012 7:50,0.04425,-0.234487,-0.235654,-0.229099
8/27/2012 7:55,0.043855,-0.234785,-0.236155,-0.22918
8/27/2012 8:00,0.0441323,-0.234805,-0.236388,-0.22912
8/27/2012 8:05,0.0440352,-0.234804,-0.236526,-0.229185
8/27/2012 8:10,0.0435196,-0.234982,-0.236707,-0.22933
8/27/2012 8:15,0.043157,-0.235137,-0.236903,-0.229376
8/27/2012 8:20,0.0434543,-0.235021,-0.23689,-0.229214
8/27/2012 8:25,0.0443575,-0.234622,-0.236524,-0.228802
8/27/2012 8:30,0.0468591,-0.233665,-0.235537,-0.22802
8/27/2012 8:35,0.050962,-0.231903,-0.233109,-0.226849
8/27/2012 8:40,0.0545251,-0.230042,-0.229919,-0.225702
